Product Name,PLU,UOM,Step,Rating,Rates Count,Price,Property Clarification,Weight,Nutrients Protein,Nutrients Fat,Nutrients Carbs,Nutrients Calories,Ingredients,Desirability
Хлеб Коломенский Даниловский ржано-пшеничный нарезка 350г,4276930,шт,1.0,4.93,18386,75.99,350 г,350.0,7.0,1.0,49.0,230.0,"вода, мука ржаная хлебопекарная обдирная, мука пшеничная хлебопекарная высшего сорта, сахар белый, соль, патока. Продукт может содержать следы молочных продуктов, кунжута, горчицы",5
Мандарины,47642,кг,0.5,4.86,198216,199.99,Цена за 1 кг,500.0,0.8,0.2,7.5,33.0,,8
Ролл Симфония с креветкой темпура Пятерочка Кафе 180г,4370998,шт,1.0,4.78,1305,249.99,180 г,180.0,5.5,10.5,23.7,211.3,"рис отварной [вода, крупа рисовая, соус для риса (уксус рисовый, соль, сахар), кпд консервирующая (жидкая смесь (вода, ароматизатор, экстракты специй (можжевельник, розмарин)), масло рисовое, трегалоза], креветка жареная [креветка белоногая, масло фритюрное, сухари панировочные (пшеничная мука, дрожжи, соль, сахар), кляр (вода, мука темпурная (мука пшеничная, мука рисовая, кукурузный крахмал, сода, соль), соль), мука пшеничная], соус «Спайси» [майонез (масло подсолнечное, вода, сахар, соль, яичный желток, регуляторы кислотности: кислота уксусная, молочная кислота, загуститель Е1422, консервант сорбиновая кислота, стабилизаторы: ксантановая камедь, гуаровая камедь, ароматизатор, краситель каротины), масло кунжутное острое (масло кунжутное, перец красный), соевый соус (вода, соевые бобы, пшеница, соль, сахар), перец красный],  водоросли сушёные «Нори».
Продукция производится на предприятии, где используются аллергены: рыба, орехи, арахис, кунжут, молоко, сельдерей, моллюски, сульфиты.",3
Драже M&M's с арахисом в ассортименте 45г,3386335,шт,1.0,4.94,14827,50.99,45 г,45.0,9.3,24.6,60.0,504.0,"молочный шоколад (сахар, какао тертое, сухое цельное молоко, лактоза, какао масло, эквивалент масла какао (масло пальмовое, масло ши), эмульгатор (соевый лецитин), ароматизаторы (ванилин, масляная кислота)), сахар, арахис, крахмал кукурузный, масло пальмовое рафинированное дезодорированное, глюкозный сироп (кукурузный, пшеничный), загуститель (декстрин), крахмал рисовый, красители (красный свекольный, куркумин, каротины, Е172, Е133, карбонат кальция), глазирователь (воск карнаубский), жир специального назначения (масло кокосовое, масло пальмоядровое)",2
Батон Коломенское Нарезной нарезка 400г,2065120,шт,1.0,4.94,55887,72.99,400 г,400.0,7.5,2.9,51.4,265.0,"мука пшеничная хлебопекарная высшего сорта, вода, сахар белый, масло подсолнечное, соль, дрожжи хлебопекарные прессованные",3
Салат сельдь под шубой Пятерочка Кафе 250г,4322017,шт,1.0,4.83,6251,179.99,250 г,250.0,6.2,14.5,8.0,188.0,"сельдь филе [сельдь тихоокеанская, соль, масло подсолнечное, консервант бензоат натрия], майонез [масло подсолнечное, вода, сахар, соль, яичный желток, регуляторы кислотности: кислота уксусная, молочная кислота, загуститель Е1422, консервант сорбиновая кислота, стабилизаторы: ксантановая камедь, гуаровая камедь, ароматизатор, краситель каротины], свекла отварная, картофель отварной, морковь отварная, белок яичный, желток яичный, соль, консерванты: бензоат натрия, сорбат калия. 
  Продукция производится на предприятии, где используются аллергены: молоко, соя, сельдерей, глютен, горчица, орехи, арахис, кунжут, ракообразные, моллюски, сульфиты",3
Онигири с тунцом и соусом Спайси Пятерочка Кафе 110г,4342264,шт,1.0,4.76,4799,129.99,110 г,110.0,3.9,6.2,30.9,195.0,"рис отварной заправленный [вода, рис, соус для риса (уксус рисовый (уксус рисовый, уксус спиртовой, вода, сахар, соль), сахар, соль), масло рисовое], тунец натуральный полосатый в собственном соку [тунец полосатый хлопья, соль, вода], соус Спайси [майонез (масло подсолнечное, вода, сахар, соль, яичный желток, регуляторы кислотности: кислота уксусная, молочная кислота, загуститель E1422, консервант E200, стабилизаторы: ксантановая камедь, гуаровая камедь, ароматизатор, краситель каротины), соус Кимчи (вода, чеснок, уксус, соль, сахар, морковь, усилитель вкуса и аромата E621, яблочный сок, паприка, перец чили, овощной белок, регулятор кислотности лимонная кислота, имбирь), соус Шрирача (перец чили, чеснок, сахар, соль, очищенный уксус, консервант сорбат калия, стабилизатор ксантановая камедь)), водоросли морские сушёные. 
На предприятии изготавливаются продукты, содержащие аллергены: молоко, сельдерей, глютен, горчица, орехи, соя, арахис, кунжут, ракообразные, моллюски, сульфиты",3
Хлебцы Хлебцы Молодцы Фитнес линия цельнозерновые витамин плюс хрустящие 100г,2059458,шт,1.0,4.93,7381,57.99,100 г,100.0,10.1,2.3,57.1,290.0,"цельные зерна пшеницы, ржаной солод, соль, эмульгатор натуральный растительный (соевый) лецитин, витаминно - минеральная добавка Кастомикс Иммунити, антиокислитель (токоферолы, концентрат смеси)",5
Груши Китайские,57165,кг,0.5,4.85,21861,,Цена за 1 кг,500.0,0.0,0.0,11.5,41.5,груши,8
Паста шоколадно-молочная Шарлиз 350г,3283259,шт,1.0,4.89,7388,156.99,350 г,350.0,3.0,35.0,58.0,560.0,"Сахар, растительные масла, сыворотка молочная сухая, молоко сухое обезжиренное, какао-порошок, порошок плодов рожкового дерева, эмульгатор (лецитин соевый), ароматизаторы, антиокислитель (E306). 

Продукт содержит незначительые количества продуктов переработки сои.",2
Хлеб сандвичный Harry's American Sandwich пшеничный нарезка 470г,2061861,шт,1.0,4.93,16015,119.99,470 г,470.0,8.0,6.0,48.0,278.0,"мука пшеничная хлебопекарная высшего сорта, вода, сахар, масло растительное, улучшитель хлебопекарный (эмульгатор (моно- и диглицериды жирных кислот), консервант — пропионат кальция, мука пшеничная хлебопекарная, мука соевая, ферменты, антиокислитель — кислота аскорбиновая, спирт пищевой, соль, клейковина пшеничная сухая, дрожжи",5
Каша Рисовая на молоке Пятерочка Кафе 200г,4216695,шт,1.0,4.92,9545,94.99,200 г,200.0,2.5,3.0,15.0,95.0,"молоко питьевое м.д.ж. 2,5%, вода питьевая, крупа рисовая, сахар, масло сливочное Крестьянское (сливки пастеризованные), крахмал картофельный, соль, ароматизатор (ванилин). 
Может содержать незначительное количество глютена, орехов, горчицы, сельдерея, аспартама, кунжута, яичных, соевых и рыбных продуктов",4
"Крекер Яшкино Французский хрустящий с кунжутом, 185г",3222305,шт,1.0,4.92,15653,56.99,185 г,185.0,8.0,23.0,62.0,490.0,"Мука пшеничная в/с, вода, маргарин (рафинированные дезодорированные масла в натуральном и модифицированном виде (подсолнечное, пальмовое), вода, эмульгаторы (E471, соевый лецитин), соль поваренная пищевая, красители (E106b, E100), ароматизатор, регулятор кислотности лимонная кислота), сахар, крахмал кукурузный, масло подсолнечное рафинированное дезодорированное, стружка кокосовая, кунжут жареный, молоко сухое обезжиренное, разрыхлители (карбонат аммония, карбонаты натрия), соль, сыворотка молочная сухая, сыр сухой дробленый, регулятор кислотности лимонная кислота, дрожжи хлебопекарные прессованные, антиокислитель пиросульфит натрия. Продукт может содержать следы продуктов переработки яиц",4
