Product Name,PLU,UOM,Step,Rating,Rates Count,Price,Property Clarification,Weight,Nutrients Protein,Nutrients Fat,Nutrients Carbs,Nutrients Calories,Ingredients,Desirability
Снеки Cheetos Сыр 50г,4179192,шт,1.0,4.93,24865,70.99,50 г,50.0,7.0,22.0,62.0,470.0,"крупа кукурузная, масло рапсовое, ароматизатор [пшеничная мука, сухая молочная сыворотка, соль, усилители вкуса и аромата (глутамат натрия 1-замещенный, 5'-гуанилат натрия 2-замещенный, 5'-инозинат натрия 2-замещенный), агент желирующий (хлорид калия), сахар, вкусоароматические вещества, регулятор кислотности (лимонная кислота), краситель (экстракт паприки)",1
Крекер Tuc Мини со вкусом сыра соленый 110г,4352219,шт,1.0,4.92,6043,,110 г,110.0,8.5,23.0,63.0,497.0,"мука пшеничная, масло пальмовое, вода, сахар, комплексная пищевая добавка (сыворотка сухая молочная, соль, усилители вкуса и аромата (E621, E631, E627), ароматизаторы, порошок сырный, регулятор кислотности (кислота лимонная)), разрыхлители (гидрокарбонат аммония, гидрокарбонат натрия), соль, порошок яичный, регулятор кислотности (кислота лимонная), консервант (пиросульфит натрия).
Может содержать следы сои.",3
Масло сливочное Станция Молочная Шоколадное 62% БЗМЖ 180г,4093223,шт,1.0,4.91,6334,229.99,180 г,180.0,1.2,62.0,19.6,640.0,"Пастеризованные сливки, сахар - песок, какао - порошок, ароматизатор натуральный ванилин.",5
Салат Коул Слоу капустный с апельсиновым соком Пятерочка Кафе 200г,4211040,шт,1.0,4.89,4368,119.99,200 г,200.0,1.5,17.8,10.1,207.0,"капуста белокочанная, майонез классический (масло подсолнечное рафинированное дезодорированное, вода, сахар, яичный желток, соль, регуляторы кислотности: кислота уксусная ледяная, молочная кислота, консервант сорбиновая кислота, стабилизатор ксантановая камедь, эфирное горчичное масло, краситель каротины), морковь, сахар, сок апельсиновый концентрированный, уксус столовый 9% , горчица дижонская (вода, семена горчицы, уксус спиртовой, соль, регулятор кислотности лимонная кислота, антиокислитель пиросульфит калия), соль (соль, агент антислеживающий Е536), чеснок, перец белый молотый.
На предприятии изготавливаются продукты содержащие аллергены: молоко, яйца, сою, рыбу, сельдерей, глютен, горчицу, орехи, арахис, кунжут, ракообразные, моллюкси, сульфиты",3
Чай зеленый Greenfield Flying Dragon крупнолистовой 100г,46397,шт,1.0,4.91,3157,,100 г,100.0,0.0,0.0,0.0,0.0,чай зеленый байховый,2
Продукт овсяный Velle Каша с курагой ферментированный 170г,4310686,шт,1.0,4.8,674,,170 г,170.0,1.5,2.5,15.0,90.0,"овсяная основа (вода, овес пропаренный, сахар, овсяная мука, масло подсолнечное, ржаные хлопья, морская соль, инулин (пребиотик), загуститель: гуммиарабик, тары камедь, камедь кассии; ароматизаторы натуральные, закваска (пробиотические культуры: lactobacillus acidophilus, bifidobacterium; streptococcus thermophilus) ), фруктовый наполнитель «Чернослив» (вода, сахар, кусочки чернослива*, ароматизаторы натуральные, загуститель: пектины; карамелизованный сахарный сироп, концентрированный лимонный сок). *в продукте возможно присутствие косточек и/или их фрагментов, что свойственно продуктам из натурального сырья",4
Креветки Polar Северные варено-мороженые 70/90 500г,3663836,шт,1.0,4.89,2240,,500 г,500.0,17.0,1.2,1.0,80.0,креветки варено-мороженые неразделанные,7
Оладьи оладушки С Пылу С Жару 280г,3371860,шт,1.0,4.86,1848,,280 г,280.0,6.0,4.0,40.0,200.0,"мука пшеничная хлебопекарная высший сорт, вода питьевая, сахар, меланж яичный пастеризованный (продукты яичные), молочная сыворотка, разрыхлитель: гидрокарбонат натрия, соль, регулятор кислотности: лимонная кислота, стабилизатор: ксантановая камедь, масло растительное",5
Икра Балтийский Берег Красная лососевая имитированная 480г,4072352,шт,1.0,4.87,5195,136.99,480 г,480.0,2.0,9.0,1.0,85.0,"вода питьевая, масло подсолнечное рафинированное дезодорированное, соль, рыбий жир пищевой из лосося атлантического, загустители: Е401, Е466, сахар, ароматизатор (содержит молоко и продукты его переработки (в том числе лактозу), рыбу и продукты её переработки), регулятор кислотности Е327, уплотнитель Е509, красители: Е110, Е120, Е124, Е160с.  Содержит красители, которые могут оказывать отрицательное влияние на активность и внимание детей",5
Паприка Kotanyi копченая молотая 25г,3647200,шт,1.0,4.94,6991,,25 г,25.0,0.0,0.0,0.0,0.0,"паприка. может содержать следы: горчица, злаки, содержащие глютен, кунжут, молоко, сельдерей, соя, яйца",1
Соль Рестория Вкусная со специями 400г,4332043,шт,1.0,4.91,2115,109.99,400 г,400.0,0.5,0.3,1.2,10.0,"Соль пищевая выварочная экстра, петрушка, лук репчатый, паприка, чеснок, масло подсолнечное, морковь, мускатный орех, тмин, куркума, белый корень (пастернак, петрушка), зира. 

Продукт может содержать следы кунжута, сельдерея, горчицы, грецкого ореха, других орехов.",1
Креветки Бухта изобилия Королевские 50/70 варено-мороженые 1кг,3642960,шт,1.0,4.87,2893,,1 кг,1000.0,22.6,0.1,1.8,107.0,"креветки (Litopenaeus vannamei), вода (защитная ледяная оболочка). Продукт может содержать следы моллюсков",8
Картофель Сад и огород для жарки фасованный 3кг,3193948,шт,1.0,4.85,5031,299.99,3 кг,3000.0,2.0,0.4,16.3,77.0,картофель,9
Семечки От Мартина черные отборные обжаренные с солью премиум 250г,4300514,шт,1.0,4.92,5059,,250 г,250.0,20.7,52.9,5.0,578.0,"обжаренные семена подсолнуха, соль",2
Батончик Milky Way шоколадный 26г,5164,шт,1.0,4.94,26845,24.99,26 г,26.0,2.7,16.5,72.8,452.0,"молочный шоколад (сахар, какао масло, какао тертое, сухое цельное молоко (W) или сухое обезжиренное молоко (R), лактоза, молочный жир, эмульгатор (соевый лецитин), ароматизатор (ванилин)), глюкозный сироп (кукурузный, пшеничный), сахар, масло пальмовое рафинированное дезодорированное, сухое обезжиренное молоко, ячменный солодовый экстракт, соль, сухой яичный белок, ароматизатор (ванилин)",2
Рис Националь Золотистый длиннозерный пропаренный 900г,45954,шт,1.0,4.93,5732,166.99,900 г,900.0,8.0,0.5,78.0,350.0,"крупа рисовая шлифованная, обработанная паром, первый сорт. 
Возможно наличие следов глютена",8
Йогурт Фругурт персик-маракуйя 2% 240г,4270700,шт,1.0,4.94,17982,60.99,240 г,240.0,3.1,2.0,16.2,95.0,"молоко нормализованное, молоко восстановленное (В), фруктовый наполнитель «Персик-маракуйя» (вода, персик, сахар, стабилизатор Е1442 (H) или стабилизатор Е1422 (T)* или кукурузный крахмал (X), глюкозно-фруктозный сироп (G), концентрированный сок из маракуйи, стабилизатор - пектины (P)*, ароматизаторы, краситель - аннато, регуляторы кислотности (лимонная кислота, цитрат натрия 3-замещенный)), сахар, стабилизаторы (Е1422, гуаровая камедь), желатин, закваска",3
Сок ФрутоНяня Яблоко и персик с 5 мес. 200мл,22233,шт,1.0,4.94,7744,,200 мл,200.0,0.0,0.0,12.0,48.0,"сок из яблок, пюре из персиков. 
Изготовлен из концентрированных сока и пюре. Без добавления сахара. Содержит сахара природного происхождения",2
Вода Красная цена газированная 1.5л,3424981,шт,1.0,4.92,20361,21.99,1.5 л,1500.0,0.0,0.0,0.0,0.0,вода газированная,3
Скумбрия Fish House атлантическая натуральная с добавлением масла 240г,4114168,шт,1.0,4.9,6997,,240 г,240.0,13.0,10.0,0.0,267.0,"Рыба-скумбрия куски, масло растительное, соль, экстракт перца душистого.",7
Кукуруза Global Village Selection без сахара 340г,4205392,шт,1.0,4.91,7565,,425 мл,425.0,2.0,0.0,8.5,71.0,"кукуруза сахарная целыми зернами, вода питьевая, соль",4
Мармелад Fruit-tella Змеи XXL жевательный 70г,2108134,шт,1.0,4.93,8111,87.99,70 г,70.0,5.0,0.2,76.0,330.0,"глюкозный сироп (из пшеницы), сахар, желатин, регулятор кислотности (лимонная кислота), соки из фруктов и ягод (клубничный, малиновый, лимонный, апельсиновый, яблочный) (1%), натуральные ароматизаторы, концентраты (сафлор, спирулина), концентрированный сок черной моркови, растительные масла, концентрированный сок редиса, глазирователи (карнаубский воск, воск пчелиный, белый)",2
Лапша Чан Рамен Корейская быстрого приготовления 120г,3402845,шт,1.0,4.9,6444,90.99,110 мл,110.0,8.5,14.0,66.0,420.0,"Лапша: пшеничная мука в/с, растительное масло, пищевая добавка загуститель (крахмал), соль, клейковина, пищевая добавка эмульгатор «К-300А» (соевое масло, лецитины), комплексная пищевая добавка стабилизатор ""премикс"" (карбонат калия, гуаровая камедь, полифосфат натрия), приправы смешанные (сахар, экстракт дрожжей, растительный протеин, лук, порошок соевого соуса). Бульон-приправа: бульонная основа (соус соевый, порошок говядины, чеснок, порошок редиса, перец стручковый острый, экстракт дрожжей, лук, ароматизатор ""говядина""), усилитель вкуса (глутамат натрия), соль, сахар. Приправа из сушеных овощей: лук, чеснок, грибы, паприка красная. Продукт содержит глютен, продукты переработки сои",3
Кефир Сарафаново детский 1.5% БЗМЖ 930г,3628395,шт,1.0,4.91,5054,99.99,930 мл,930.0,2.9,1.5,4.0,41.1,"Нормализованное молоко, закваска на кефирных грибах.",3
Колбаса Останкино Пресижн сырокопченая 250г,3440967,шт,1.0,4.87,9282,,250 г,250.0,20.0,46.0,0.0,494.0,"Свинина, шпик, говядина, соевый белок, смесь посолочно-нитритная (соль, фиксатор окраски нитрит натрия), соль, молочный белок, регулятор кислотности пирофосфаты, растительная клетчатка (в т.ч. пшеничная), экстракты пряностей (перец черный, чеснок), сахар, ароматизатор, антиокислитель изоаскорбат натрия, усилитель вкуса и аромата глутамат натрия, красители: кармины, красный рисовый; стартовая культура.

Возможно наличие следовых количеств мяса птицы. На предприятии используются яйца, горчица, сельдерей и продукты их переработки.",3
Мороженое Вологодский Пломбир ванильное 15% БЗМЖ 250г,3603592,шт,1.0,4.91,4706,194.99,250 г,250.0,3.0,15.0,19.7,225.0,"молоко коровье цельное, молоко цельное сгущённое с сахаром (молоко цельное, молоко обезжиренное, сахар (сахароза)), вода питьевая, масло сливочное, сухой глюкозный сироп, комплексная пищевая добавка (эмульгатор - моно- и диглицериды жирных кислот, стабилизаторы: гуаровая камедь, камедь рожкового дерева, тары камедь, каррагинан). Массовая доля жира -15%. Может содержит следы арахиса, орехов",3
Чай черный Greenfield Золотой Цейлон листовой 100г,46390,шт,1.0,4.93,5658,,100 г,100.0,0.0,0.0,0.0,0.0,крупнолистовой цейлонский чай,2
Изюм Mixbar сушеный без косточки светлый 150г,4271265,шт,1.0,4.81,2343,104.99,150 г,150.0,2.3,0.5,65.8,281.0,виноград сушёный без косточки светлый,4
"Карамель Chupa Chups яблоко-карамель, ваниль-мята, мандарин в ассортименте 12г",4366035,шт,1.0,4.92,1028,9.99,12 г,12.0,0.0,0.1,95.0,380.0,"сахар, глюкозный сироп, регулятор кислотности (лимоннaя кислота), ароматизатор, краситель (экстракт паприки).
Может содержать следы молока",2
Батончик Snaq Fabriq Coco Tropic Манго-маракуйя 40г,4126139,шт,1.0,4.86,1234,,40 г,40.0,2.7,11.4,3.5,159.0,"кокос, водорастворимые волокна кукурузы, инулин(пищевые волокна), олигофруктоза (пищевые волокна), молочный шоколад(водорастворимые волокна кукурузы, какао масло, какао тертое, молоко сухое обезжиренное, эмульгатор - соевый лецитин, ароматизаторы натуральные, подсластитель - сукралоза), вода, макуйя, манго, агенты влагоудерживающие (глицерин, сорбит), соль, ароматизаторы натуральные, регулятор кислотности - лимонная кислота, антиокислитель (аскорбиновая кислота), консервант(сорбат калия), натуральный подсластитель - стевия",7
Сыр плавленый Viola cливочный 45% БЗМЖ 130г,3908610,шт,1.0,4.93,5084,,130 г,130.0,10.0,17.0,6.5,219.0,"сыры твердые и полутвердые (содержат ферментный препарат животного происхождения — лизоцим (продукт переработки яиц)), вода питьевая, масло сливочное, сухое обезжиренное молоко, молочный белок, сухая молочная сыворотка, эмульгаторы (Е331 (iii), Е339 (i), Е339 (iii), Е450 (i), Е452 (i)), регулятор кислотности (лимонная кислота), комплексная пищевая добавка, сухое цельное молоко, сухая молочная сыворотка, соль, лактоза, ароматизаторы, сахарная пудра, крахмал кукурузный, йогурт порошок), стабилизатор (каррагинан). 
Продукт может содержать следы соевого белка, глютена, сельдерея, горчицы, рыбы и ракообразных",5
Фигурка Мок-Мок шоколадная с печеньем 24г,4365633,шт,1.0,4.93,6233,69.99,24 г,24.0,5.5,31.0,56.0,530.0,"молочный шоколад (сахар, масло какао, молоко сухое цельное, тертое какао, сыворотка молочная сухая, эмульгатор соевый лецитин, ароматизатор натуральный «Ваниль»), мука пшеничная, белый шоколад (сахар, масло какао, молоко цельное сухое, эмульгатор соевый лецитин, ароматизатор натуральный «Ваниль»), сахар, масло кокосовое, крахмал кукурузный, патока, масло подсолнечное, тёмный шоколад (сахар, тертое какао, масло какао, молоко сухое цельное, сыворотка молочная сухая, молочный жир, эмульгатор соевый лецитин, ароматизатор натуральный «Ваниль»), молоко сухое обезжиренное, разрыхлитель гидрокарбонат натрия, соль, эмульгатор лецитин соевый, ароматизатор натуральный «Ванильно-сливочный», красители натуральные: «Кармин», «Лютеин»",2
Молоко Станция молочная топленое 3.2% БЗМЖ 900мл,4255956,шт,1.0,4.93,11212,99.99,900 мл,900.0,3.0,3.2,4.7,60.0,"Молоко цельное, молоко обезжиренное.",7
Печенье Кукис шоколадное 60г,78035460,шт,1.0,4.87,804,49.99,60 г,60.0,4.5,18.0,67.0,450.0,"Смесь для приготовления печенья (сахар, какао-порошок, крахмал кукурузный, эмульгатор E1414, пшеничная мука, яичный порошок, сыворотка сухая, декстроза, соль пищевая, разрыхлитель Е500ii, ароматизатор ""Ванилин""), сахар, мука пшеничная хлебопекарная высшего сорта, маргарин твердый (рафинированные дезодорированные масла в натуральном и модифицированном виде (пальмовое масло и его фракции, подсолнечное масло), вода питьевая, эмульгаторы (E471, E475), соль пищевая, ароматизатор ""Сливки-молоко"", краситель E160а, регулятор кислотности лимонная кислота), вода питьевая, масло подсолнечное рафинированное дезодорированное, шоколад темный в порошке (какао тертое, сахар, какао-порошок, эмульгатор (лецитин соевый)). 

Продукция производится на предприятии, где используются аллергены: молоко, рыба, сельдерей, горчица, орехи, арахис, кунжут, ракообразные, моллюски, сульфиты.",3
Рулетики Хлебозавод №28 маковые 3х30г,2078424,шт,1.0,4.92,6459,42.99,90 г,90.0,8.0,23.0,48.0,430.0,"мука пшеничная хлебопекарная высшего сорта, вода питьевая, мак пищевой измельченный, сахар-песок, маргарин (рафинированные дезодорированные растительные масла (модифицированные пальмовые, пальмовое, подсолнечное), вода питьевая, эмульгаторы (Е471, Е475, соевый лецитин Е322), соль, консерванты (Е200, Е211), краситель (Е160а), ароматизатор, регулятор кислотности (Е330)), яйца куриные пищевые, дрожжи хлебопекарные, молоко сухое цельное, клейковина пшеничная, соль поваренная пищевая, улучшитель хлебопекарный «Мажимикс» с фиолетовой этикеткой (пшеничная мука; стабилизатор: карбонат кальция; эмульгатор Е472е, антиокислитель: аскорбиновая кислота)",2
Пельмени Сибирская Коллекция Фирменные 700г,3693418,шт,1.0,4.81,1877,529.99,700 г,700.0,11.0,13.0,25.0,260.0,"фарш – свинина, говядина, мясо цыплят - бройлеров, лук репчатый свежий, вода питьевая, молоко питьевое обезжиренное, соль, перец черный молотый, тесто – мука пшеничная высшего сорта, вода питьевая, меланж яичный, масло подсолнечное, соль",4
Сахарная вата Счастливые дети в шарике 16г,3378442,шт,1.0,4.9,4123,25.99,16 г,16.0,0.0,0.0,100.0,420.0,сахар-песок,2
Зелень Global Village Укроп и петрушка 50г,4265925,шт,1.0,4.89,5662,82.49,50 г,50.0,0.0,0.0,0.0,0.0,зелень свежая,7
Гренки Дон Крутон пшеничные со вкусом тайского перца 130г,4069653,шт,1.0,4.92,13748,,130 г,130.0,7.0,34.0,44.0,510.0,"хлеб пшеничный (мука пшеничная хлебопекарная первого сорта, вода питьевая, сахар, соль, дрожжи хлебопекарные прессованные), масло подсолнечное рафинированное дезодорированное, комплексная пищевая добавка (мальтодекстрин, соль, сахар, глюкоза, томаты порошок, усилители вкуса и аромата (глутамат натрия, гуанилат натрия, инозинат натрия), чеснок порошок, регуляторы кислотности (ацетаты натрия , лимонная кислота), натуральные вкусоароматические вещества, специи, краситель экстракт паприки , жир растительный, подсластитель сукралоза, антикомкователь диоксид кремния аморфный)",2
Конфеты Красный октябрь Цитрон 250г,2057831,шт,1.0,4.91,2455,,250 г,250.0,1.0,8.0,81.0,410.0,"сахар, шоколадная глазурь (сахар, какао тёртое, эквивалент масла какао, растительные негидрогенизированны­е масла (пальмовое, ши, иллипе, подсолнечное)), какао-порошок, эмульгаторы: лецитин соевый, Е476, ароматизатор "" Ваниль""), патока, пюре яблочное (яблоки, консервант - диоксид серы), регулятор кислотности - лимонная кислота, краситель Е100, ароматизатор ""Лимон""",2
Кофе в капсулах L`or Espresso Delizioso жареный молотый 10x5.2г,3683334,шт,1.0,4.9,73,349.99,52 мл,52.0,0.0,0.0,0.0,0.0,100% арабика,2
"Мини-круассаны Шарлиз с варёной сгущёнкой, 200г",3900909,шт,1.0,4.92,8099,,200 г,200.0,7.0,26.0,46.0,446.0,"Тесто: мука пшеничная хлебопекарная высшего сорта, вода питьевая, маргарин (пальмовое масло, вода питьевая, соль поваренная пищевая, эмульгатор (моно-и диглицериды жирных кислот), регулятор кислотности (лимонная кислота), консервант (сорбат калия)), сахар, стабилизатор (моно-и диглицериды жирных кислот), дрожжи хлебопекарные прессованные, соль поваренная пищевая, ароматизатор, консервант (пропионат кальция).
Крем со вкусом вареная сгущенка: продукт растительно-молокосодержащий сгущенный с сахаром (сахар, молоко сухое обезжиренное, сыворотка молочная сухая подсырная, заменитель молочного жира), ароматизатор, стабилизатор (АГАР)), пальмовое масло, вода питьевая, желток яичный сухой, спирт этиловый ректификованный из пищевого сырья Люкс, эмульгатор (эфиры полиглицерина и жирных кислот), стабилизатор (камедь целлюлозы), ароматизаторы, консервант (сорбат калия). Продукт может содержать незначительное количество: соевых продуктов, орехов.",2
Наггетсы Красная Цена из мяса цыпленка 300г,3606616,шт,1.0,4.88,8292,89.99,300 г,300.0,12.9,9.7,27.4,248.5,"мясо цыпленка, вода питьевая, сухари панировочные (мука пшеничная, вода питьевая, соль пищевая, дрожжи хлебопекарные, краситель аннато, куркума), кожа куриная, мука соевая, масло растительное, мука пшеничная, клетчатка соевая, соль пищевая, крахмал (кукурузный, гороховый), белок яичный, пищевые волокна, сахар, декстроза, ароматизаторы, усилители вкуса и аромата (глутамат, гуанилат и инозинат натрия), перец черный, антиокислитель лимонная кислота. Продукт может содержать следы молочных продуктов, порошка горчичного, кунжута, сельдерея",4
Кукуруза консервированная Бондюэль сладкая 340г,3792,шт,1.0,4.93,9439,,425 мл,425.0,2.6,1.0,15.2,80.0,"Сладкая кукуруза в зернах, вода питьевая, сахар, соль.",5
Паштет Хаме с индейкой 68г,4383552,шт,1.0,4.93,15,49.99,68 г,68.0,7.0,22.0,5.0,230.0,"Мясные ингредиенты не менее 53% (шкурка свиная; печень свиная; шпик свиной; мясо куриное механической обвалки; свинина; филе грудки  индейки); вода питьевая; крахмал пшеничный; смесь посолочно-нитритная (соль, фиксатор окраски нитрит натрия); усилители вкуса и аромата: глутамат натрия 1-замещенный, инозинат натрия 2-замещенный; сахар; стабилизаторы цитраты натрия; антиокислитель изоаскорбат натрия; загуститель каррагинан; агент желирующий хлорид калия.

Продукт может содержать остаточные количества: орехов, сульфитов, продуктов переработки яиц, сои,  рыбы, горчицы, сельдерея, молока, говядины, кролика, гусей.",6
Торт Mirel Малиновый Сметанник 650г,4325059,шт,1.0,4.91,3230,679.99,650 г,650.0,3.5,22.0,25.0,310.0,"cметана (нормализованные сливки, закваска молочнокислых микроорганизмов), сахар, молоко ультрапастеризованное с м.д.ж. 3,2 %, продукт яичный (меланж), спред (заменитель молочного жира (растительные масла, эмульгатор моно- и диглицериды жирных кислот, антиокислитель (концентрат смеси токоферолов), краситель (каротины), молоко, ароматизатор), мука пшеничная в/с, крем для начинки (сахар, жиры растительные, молоко сухое обезжиренное, сыворотка сухая молочная, эмульгатор лецитин соевый, ароматизатор), вода, масло подсолнечное, крем на растительных маслах (вода, заменитель масла какао нетемперируемый лауринового типа, сахар, казеинат натрия, эмульгаторы (эфиры глицерина и молочной и жирных кислот, лецитины, сорбитовый сироп), стабилизатор (целлюлоза микрокристаллическая), антиокислитель ( альфа-Токоферол), регулятор кислотности (орто-Фосфат калия 2-замещенный), соль, ароматизатор), джем малиновый (малина, сахар, загустители (пектины, регулятор кислотности (цитрат натрия), консервант (сорбиновая кислота), ароматизатор), крахмал кукурузный, стабилизатор (дикрахмаладипат ацетилированный), желатин, изделие из глазури и посыпка декоративная (жир растительный, олеин пальмовый), сыворотка молочная сухая, эмульгаторы (лецитин соевый, эфиры полиглицерина и взаимоэтерифицированных рициноловых кислот), красители (кармины, каротины, рибофлавин), агент влагоудерживающий (глицерин), разрыхлители (гидрокарбонат натрия, дигидропирофосфат натрия), сыворотка, комплексная пищевая добавка (сухой натуральный яблочный уксус, соль), соль регулятор кислотности (лимонная кислота), ароматизатор",2
Вафли мягкие Шарлиз с суфле и карамелью 144г,4204100,шт,1.0,4.92,6369,,144 г,144.0,5.0,23.0,52.0,435.0,"Продукты яичные (меланж), сахар, вода питьевая, мука пшеничная общего назначения (содержит глютен), масло подсолнечное высокоолеиновое рафинированное дезодорированное, патока, начинка Молочная карамель (сахар, вода питьевая, патока, заменитель молочного жира (рафинированные дезодорированные растительные масла в натуральном и модифицированном виде (подсолнечное масло,кокосовое масло,высокоолеиновое подсолнечное масло), антиокислитель-концентрат смеси токоферолов); влагоудерживающий агент - глицерин, молоко обезжиренное сухое, сыворотка молочная сухая, желирующий агент - агар, эмульгаторы: лецитин соевый, моно-и диглицериды жирных кислот; ароматизатор Карамель, соль пищевая, консервант - сорбиновая кислота, регулятор кислотности - цитрат натрия); жир кондитерский (масло рафинированное дезодорированное, в том числе гидрогенизированное (подсолнечное)); продукт молочный сгущенный с сахаром ( сыворотка молочная концентрированная, сахар (сахароза, лактоза), молоко цельное); сыворотка молочная сухая, влагоудерживающий агент-глицерин, сироп глюкозный, соль пищевая, продукты яичные ( белок яичный сухой), желирующий агент–агар, разрыхлители: гидрокарбонат аммония, гидрокарбонат натрия; ароматизатор «Ваниль», эмульгатор–лецитин соевый, консервант–сорбиновая кислота, регуляторы кислотности: молочная кислота, лимонная кислота.",1
Сливки Домик в деревне 10% БЗМЖ 270мл,3496642,шт,1.0,4.94,5814,104.99,270 мл,270.0,2.6,10.0,4.4,118.0,сливки нормализованные,5
Вырезка свиная Слово Мясника охлажденная,4049790,кг,0.75,4.86,3581,549.99,Цена за 1 кг,750.0,16.0,10.0,0.0,150.0,свинина,8
Сывороточный коктейль Мажитэль Клубника 0.05% БЗМЖ 950мл,23035,шт,1.0,4.91,4701,,950 мл,950.0,0.7,0.05,12.9,55.0,"сыворотка молочная восстановленная, вода, сахарный сироп (сахар, вода), глюкозно-фруктозный сироп, концентрированный яблочный сок, молоко обезжиренное, концентрированный клубничный сок, стабилизатор – пектин, трегалоза, регуляторы кислотности (цитрат натрия 3-замещенный, лимонная кислота), премикс витаминный, ароматизаторы, краситель - кармин",4
Салат Баклажаны по-корейски Рестория Шеф 200г,4261466,шт,1.0,4.79,2508,119.99,200 г,200.0,0.7,6.0,3.2,69.6,"баклажаны свежие, морковь свежая, масло подсолнечное, перец болгарский свежий, чеснок свежий, соль, уксус столовый 9%, специи, усилитель вкуса и аромата E621, подсластители: E954, E952. 
Продукт может содержать незначительное количество арахиса, яичных продуктов, рыбы, морепродуктов, сои, глютена, горчицы",3
Фасоль Global Village стручковая замороженная 400 г,3228659,шт,1.0,4.87,3755,157.99,400 г,400.0,2.2,0.2,3.3,24.0,фасоль зеленая стручковая,6
Сыр Viola Маасдам полутвердый нарезка 45% БЗМЖ 120г,4260755,шт,1.0,4.92,3089,,120 г,120.0,25.0,25.0,0.0,325.0,"молоко пастеризованное, закваска пропионовокислых, мезофильных и термофильных молочнокислых микроорганизмов, соль, краситель (аннато), уплотнитель (хлорид кальция), ферментные препараты животного происхождения (пепсин, химозин, лизоцим (продукт переработки яиц)), консервант (Е235)",5
Смесь сухая Maggi На второе для сочной курицы с паприкой 34г,2138610,шт,1.0,4.93,5136,99.99,34 г,34.0,7.1,5.1,48.0,294.0,"Сушеные овощи (паприка, томаты, картофельные хлопья, лук репчатый),  йодированная соль (соль, йодат калия), крахмал кукурузный, сахар, специи молотые и зелень сушеная (кориандр, майоран, базилик, петрушка, перец красный острый, тимьян), пшеничная мука (содержит глютен), подсолнечное масло. 

Продукт может содержать молоко, сельдерей.",1
Путассу Fish House неразделанная замороженная 800г,3992436,шт,1.0,4.82,3545,134.99,800 г,800.0,19.0,1.0,0.0,85.0,,7
Сыр Бонджорно Рикотта с ванилью мягкий 30% БЗМЖ 180г,4325218,шт,1.0,4.86,132,,180 г,180.0,7.34,10.85,21.05,211.2,"молочная сыворотка, сливки нормализованные пастеризованные, сахар, сироп глюкозы, соль пищевая, пищевой натуральный ароматизатор ваниль, порошок ванильный, регулятор кислотности молочная кислота. 
Без глютена, консервантов, растительных жиров.",4
Свинина Великолукский МК тушеная 325г,3675349,шт,1.0,4.91,7246,263.99,325 г,325.0,13.0,33.0,0.0,350.0,"свинина, соль поваренная, перец душистый молотый, лист лавровый",6
Круассан с миндалем замороженный п/ф 70г,4198978,шт,1.0,4.64,63,79.99,70 г,70.0,9.5,30.0,43.0,475.0,"Тесто: мука хлебопекарная пшеничная высшего сорта; маргарин для слоенного теста (рафинированные дезодорированные растительные масла (пальмовое, модифицированные пальмовые) вода; эмульгаторы (E471, E475; E322 (соевый); соль; консерванты: E200, E211; краситель E160a; ароматизатор, регулятор кислотности лимонная кислота); молоко питьевое (молоко цельное, молоко обезжиренное); сахар; масло сладкосливочное; меланж пастеризованный (яйца куриные); дрожжи хлебопекарные прессованные; вода питьевая; глютен пшеничный; соль (соль пищевая, агент антислеживающий E536); комплексная пищевая добавка - улучшитель хлебопекарный (пшеничная клейковина, эмульгатор E472е, антиокислитель E300, технологическое вспомогательное средство ферменты микробного происхождения: альфа-амилаза и гемицеллюлоза);
Начинка: масло сладкосливочное; сахар; миндальная мука; меланж пастеризованный (яйца куриные); ядра миндаля бланшированные; загуститель E1422.
Продукция производится на предприятии, где используются аллергены: кунжут и продукты его переработки.",4
Горбуша Атлантика филе-ломтики слабосоленая 110г,3643866,шт,1.0,4.81,4298,208.99,110 г,110.0,22.0,9.0,0.0,169.0,"горбуша, соль пищевая, консерванты: бензоат натрия, сорбат калия",6
Гранат Азербайджан,4377047,кг,0.5,4.83,3624,299.99,Цена за 1 кг,500.0,0.7,0.6,14.5,72.0,гранат,5
Бедро цыпленка Петелинка Классическое охлажденное,4347956,кг,0.9,4.88,6137,259.99,Цена за 1 кг,900.0,17.0,15.0,0.0,200.0,бедро цыпленка-бройлера с хребтом и гузкой,8
Сметана Ростагроэкспорт 15% БЗМЖ 320г,3651189,шт,1.0,4.92,6474,109.99,320 г,320.0,2.6,15.0,3.6,160.0,"нормализованные сливки, закваска",5
Биойогурт Вкус & Польза из козьего молока натуральный 3-4.5% 230г,4362707,шт,1.0,4.8,241,,230 г,230.0,3.2,3.0,4.5,58.0,"молоко козье цельное, закваска термофильных молочнокислых стрептококков, болгарской молочной палочки, биомасса бифидобактерий",7
