Product Name,PLU,UOM,Step,Rating,Rates Count,Price,Property Clarification,Weight,Nutrients Protein,Nutrients Fat,Nutrients Carbs,Nutrients Calories,Score
Лазанья мясная замороженная Золотой Петушок 370г,2157530,шт,1.0,4.83,5644,257.99,370 г,370.0,7.6,4.1,18.7,142.1,5.0
Чебурек Богатырь с мясом Жаренки 180г,3680892,шт,1.0,4.89,7335,97.99,180 г,180.0,9.3,14.5,31.7,294.0,4.67
Оладьи оладушки С Пылу С Жару 280г,3371860,шт,1.0,4.86,1725,,280 г,280.0,6.0,4.0,40.0,200.0,6.67
Пончик с начинкой со вкусом клубники глазированный Don Donut 65г,4336618,шт,1.0,4.85,3256,54.99,65 г,65.0,5.9,18.7,39.0,329.0,3.0
Солянка По-домашнему замороженая Главсуп 250г,3236284,шт,1.0,4.9,4265,,250 г,250.0,1.3,2.5,4.0,44.0,8.0
Блинчики шоколадные с белым шоколадом замороженные С пылу с жару 220г,4278081,шт,1.0,4.8,1429,229.99,220 г,220.0,8.0,15.0,33.0,300.0,5.67
Блины с печенью замороженные Останкино 420г,2141553,шт,1.0,4.87,1694,129.99,420 г,420.0,8.0,10.0,33.0,260.0,6.67
Пельмени Супермени со сливочным маслом Горячая Штучка 200г,4042247,шт,1.0,4.86,3202,,200 г,200.0,11.0,6.0,20.0,180.0,4.0
Крылышки Хрустящие острые к пиву Горячая Штучка 300г,3446271,шт,1.0,4.8,3192,339.99,300 г,300.0,12.0,13.0,27.0,270.0,5.0
Сырники Элика По-Домашнему замороженные 320г,4310367,шт,1.0,4.66,357,219.99,320 г,320.0,15.5,7.0,19.5,230.0,6.0
Оладьи-сэндвичи с ореховой пастой замороженные С пылу с жару 60г,4351078,шт,1.0,4.69,841,,60 г,60.0,5.5,10.5,52.0,320.0,7.33
Плов с мясом цыпленка Российская корона 300г,3404868,шт,1.0,4.82,1298,239.99,300 г,300.0,7.8,4.6,19.0,148.6,6.67
Запеканка картофельная замороженная Разогрей-Ка 250г,4339081,шт,1.0,4.35,711,194.99,250 г,250.0,8.0,9.0,15.0,146.0,6.0
