plu,name,uom,step,rating,prices,property_clarification,nutrients,ingredients,desirability
4208806,Тараллини Trattoria Turatti классические 180г,шт,1.0,"{'rating_average': 4.94, 'rates_count': 10200}","[{'value': '54.99', 'placement_type': 'regular_primary'}]",180 г,"[{'value': '9.5', 'text': 'белки'}, {'value': '20.0', 'text': 'жиры'}, {'value': '64.0', 'text': 'углеводы'}, {'value': '470.0', 'text': 'ккал'}]","Мука пшеничная хлебопекарная высшего сорта, вода, масло подсолнечное высокоолеиновое рафинированное дезодорированное, соль, спирт этиловый ректификованный из пищевого сырья. 

Содержит сахара природного (естественного) происхождения.",3
4168789,Морс облепиховый Пятерочка Кафе 0.5л,шт,1.0,"{'rating_average': 4.9, 'rates_count': 2902}","[{'value': '99.99', 'placement_type': 'regular_primary'}]",500 мл,"[{'value': '0.0', 'text': 'белки'}, {'value': '0.0', 'text': 'жиры'}, {'value': '13.0', 'text': 'углеводы'}, {'value': '52.0', 'text': 'ккал'}]","облепиховый сок, сахар, регулятор кислотности лимонная кислота, вода, минимальная объёмная доля сока и пюре 15%",2
4276930,Хлеб Коломенский Даниловский ржано-пшеничный нарезка 350г,шт,1.0,"{'rating_average': 4.93, 'rates_count': 18386}","[{'value': '75.99', 'placement_type': 'regular_primary'}]",350 г,"[{'value': '7.0', 'text': 'белки'}, {'value': '1.0', 'text': 'жиры'}, {'value': '49.0', 'text': 'углеводы'}, {'value': '230.0', 'text': 'ккал'}]","вода, мука ржаная хлебопекарная обдирная, мука пшеничная хлебопекарная высшего сорта, сахар белый, соль, патока. Продукт может содержать следы молочных продуктов, кунжута, горчицы",5
47642,Мандарины,кг,0.5,"{'rating_average': 4.86, 'rates_count': 198216}","[{'value': '199.99', 'placement_type': 'regular_primary'}]",Цена за 1 кг,"[{'value': '0.8', 'text': 'белки'}, {'value': '0.2', 'text': 'жиры'}, {'value': '7.5', 'text': 'углеводы'}, {'value': '33.0', 'text': 'ккал'}]",,8
4370998,Ролл Симфония с креветкой темпура Пятерочка Кафе 180г,шт,1.0,"{'rating_average': 4.78, 'rates_count': 1305}","[{'value': '249.99', 'placement_type': 'regular_primary'}]",180 г,"[{'value': '5.5', 'text': 'белки'}, {'value': '10.5', 'text': 'жиры'}, {'value': '23.7', 'text': 'углеводы'}, {'value': '211.3', 'text': 'ккал'}]","рис отварной [вода, крупа рисовая, соус для риса (уксус рисовый, соль, сахар), кпд консервирующая (жидкая смесь (вода, ароматизатор, экстракты специй (можжевельник, розмарин)), масло рисовое, трегалоза], креветка жареная [креветка белоногая, масло фритюрное, сухари панировочные (пшеничная мука, дрожжи, соль, сахар), кляр (вода, мука темпурная (мука пшеничная, мука рисовая, кукурузный крахмал, сода, соль), соль), мука пшеничная], соус «Спайси» [майонез (масло подсолнечное, вода, сахар, соль, яичный желток, регуляторы кислотности: кислота уксусная, молочная кислота, загуститель Е1422, консервант сорбиновая кислота, стабилизаторы: ксантановая камедь, гуаровая камедь, ароматизатор, краситель каротины), масло кунжутное острое (масло кунжутное, перец красный), соевый соус (вода, соевые бобы, пшеница, соль, сахар), перец красный],  водоросли сушёные «Нори».
Продукция производится на предприятии, где используются аллергены: рыба, орехи, арахис, кунжут, молоко, сельдерей, моллюски, сульфиты.",3
3386335,Драже M&M's с арахисом в ассортименте 45г,шт,1.0,"{'rating_average': 4.94, 'rates_count': 14827}","[{'value': '50.99', 'placement_type': 'regular_primary'}]",45 г,"[{'value': '9.3', 'text': 'белки'}, {'value': '24.6', 'text': 'жиры'}, {'value': '60.0', 'text': 'углеводы'}, {'value': '504.0', 'text': 'ккал'}]","молочный шоколад (сахар, какао тертое, сухое цельное молоко, лактоза, какао масло, эквивалент масла какао (масло пальмовое, масло ши), эмульгатор (соевый лецитин), ароматизаторы (ванилин, масляная кислота)), сахар, арахис, крахмал кукурузный, масло пальмовое рафинированное дезодорированное, глюкозный сироп (кукурузный, пшеничный), загуститель (декстрин), крахмал рисовый, красители (красный свекольный, куркумин, каротины, Е172, Е133, карбонат кальция), глазирователь (воск карнаубский), жир специального назначения (масло кокосовое, масло пальмоядровое)",2
2065120,Батон Коломенское Нарезной нарезка 400г,шт,1.0,"{'rating_average': 4.94, 'rates_count': 55887}","[{'value': '72.99', 'placement_type': 'regular_primary'}]",400 г,"[{'value': '7.5', 'text': 'белки'}, {'value': '2.9', 'text': 'жиры'}, {'value': '51.4', 'text': 'углеводы'}, {'value': '265.0', 'text': 'ккал'}]","мука пшеничная хлебопекарная высшего сорта, вода, сахар белый, масло подсолнечное, соль, дрожжи хлебопекарные прессованные",3
4322017,Салат сельдь под шубой Пятерочка Кафе 250г,шт,1.0,"{'rating_average': 4.83, 'rates_count': 6251}","[{'value': '179.99', 'placement_type': 'regular_primary'}]",250 г,"[{'value': '6.2', 'text': 'белки'}, {'value': '14.5', 'text': 'жиры'}, {'value': '8.0', 'text': 'углеводы'}, {'value': '188.0', 'text': 'ккал'}]","сельдь филе [сельдь тихоокеанская, соль, масло подсолнечное, консервант бензоат натрия], майонез [масло подсолнечное, вода, сахар, соль, яичный желток, регуляторы кислотности: кислота уксусная, молочная кислота, загуститель Е1422, консервант сорбиновая кислота, стабилизаторы: ксантановая камедь, гуаровая камедь, ароматизатор, краситель каротины], свекла отварная, картофель отварной, морковь отварная, белок яичный, желток яичный, соль, консерванты: бензоат натрия, сорбат калия. 
  Продукция производится на предприятии, где используются аллергены: молоко, соя, сельдерей, глютен, горчица, орехи, арахис, кунжут, ракообразные, моллюски, сульфиты",3
4342264,Онигири с тунцом и соусом Спайси Пятерочка Кафе 110г,шт,1.0,"{'rating_average': 4.76, 'rates_count': 4799}","[{'value': '129.99', 'placement_type': 'regular_primary'}]",110 г,"[{'value': '3.9', 'text': 'белки'}, {'value': '6.2', 'text': 'жиры'}, {'value': '30.9', 'text': 'углеводы'}, {'value': '195.0', 'text': 'ккал'}]","рис отварной заправленный [вода, рис, соус для риса (уксус рисовый (уксус рисовый, уксус спиртовой, вода, сахар, соль), сахар, соль), масло рисовое], тунец натуральный полосатый в собственном соку [тунец полосатый хлопья, соль, вода], соус Спайси [майонез (масло подсолнечное, вода, сахар, соль, яичный желток, регуляторы кислотности: кислота уксусная, молочная кислота, загуститель E1422, консервант E200, стабилизаторы: ксантановая камедь, гуаровая камедь, ароматизатор, краситель каротины), соус Кимчи (вода, чеснок, уксус, соль, сахар, морковь, усилитель вкуса и аромата E621, яблочный сок, паприка, перец чили, овощной белок, регулятор кислотности лимонная кислота, имбирь), соус Шрирача (перец чили, чеснок, сахар, соль, очищенный уксус, консервант сорбат калия, стабилизатор ксантановая камедь)), водоросли морские сушёные. 
На предприятии изготавливаются продукты, содержащие аллергены: молоко, сельдерей, глютен, горчица, орехи, соя, арахис, кунжут, ракообразные, моллюски, сульфиты",3
2059458,Хлебцы Хлебцы Молодцы Фитнес линия цельнозерновые витамин плюс хрустящие 100г,шт,1.0,"{'rating_average': 4.93, 'rates_count': 7381}","[{'value': '57.99', 'placement_type': 'regular_primary'}]",100 г,"[{'value': '10.1', 'text': 'белки'}, {'value': '2.3', 'text': 'жиры'}, {'value': '57.1', 'text': 'углеводы'}, {'value': '290.0', 'text': 'ккал'}]","цельные зерна пшеницы, ржаной солод, соль, эмульгатор натуральный растительный (соевый) лецитин, витаминно - минеральная добавка Кастомикс Иммунити, антиокислитель (токоферолы, концентрат смеси)",5
57165,Груши Китайские,кг,0.5,"{'rating_average': 4.85, 'rates_count': 21861}","[{'value': '199.99', 'placement_type': 'promotional_primary'}, {'value': '223.99', 'placement_type': 'regular_secondary'}]",Цена за 1 кг,"[{'value': '0.0', 'text': 'белки'}, {'value': '0.0', 'text': 'жиры'}, {'value': '11.5', 'text': 'углеводы'}, {'value': '41.5', 'text': 'ккал'}]",груши,8
3283259,Паста шоколадно-молочная Шарлиз 350г,шт,1.0,"{'rating_average': 4.89, 'rates_count': 7388}","[{'value': '156.99', 'placement_type': 'regular_primary'}]",350 г,"[{'value': '3.0', 'text': 'белки'}, {'value': '35.0', 'text': 'жиры'}, {'value': '58.0', 'text': 'углеводы'}, {'value': '560.0', 'text': 'ккал'}]","Сахар, растительные масла, сыворотка молочная сухая, молоко сухое обезжиренное, какао-порошок, порошок плодов рожкового дерева, эмульгатор (лецитин соевый), ароматизаторы, антиокислитель (E306). 

Продукт содержит незначительые количества продуктов переработки сои.",2
2061861,Хлеб сандвичный Harry's American Sandwich пшеничный нарезка 470г,шт,1.0,"{'rating_average': 4.93, 'rates_count': 16015}","[{'value': '119.99', 'placement_type': 'regular_primary'}]",470 г,"[{'value': '8.0', 'text': 'белки'}, {'value': '6.0', 'text': 'жиры'}, {'value': '48.0', 'text': 'углеводы'}, {'value': '278.0', 'text': 'ккал'}]","мука пшеничная хлебопекарная высшего сорта, вода, сахар, масло растительное, улучшитель хлебопекарный (эмульгатор (моно- и диглицериды жирных кислот), консервант — пропионат кальция, мука пшеничная хлебопекарная, мука соевая, ферменты, антиокислитель — кислота аскорбиновая, спирт пищевой, соль, клейковина пшеничная сухая, дрожжи",5
