Product Name,PLU,UOM,Step,Rating,Rates Count,Price,Property Clarification,Weight,Nutrients Protein,Nutrients Fat,Nutrients Carbs,Nutrients Calories,Desirability,Score
Шаурма с курицей Пятерочка Кафе 200г,4279168,шт,1.0,4.7,5819,169.99,200 г,200.0,10.6,10.3,30.9,259.0,3,5.33
Салат Оливье Пятерочка Кафе 200г,4316740,шт,1.0,4.84,6260,139.99,200 г,200.0,5.4,10.9,6.5,146.0,3,6.67
Пирог домашний с творожной начинкой 96г,78033558,шт,1.0,4.89,26827,39.99,96 г,96.0,7.0,10.0,48.0,310.0,2,7.0
Лимоны,3294954,кг,0.25,4.92,205398,179.99,Цена за 1 кг,250.0,1.1,0.3,9.0,29.0,7,8.0
Чебупицца Курочка по-итальянски Горячая Штучка 250г,3421780,шт,1.0,4.91,17370,,250 г,250.0,8.0,13.0,29.0,270.0,3,5.67
Лимонад Лимон-имбирь Пятерочка Кафе 500мл,4250372,шт,1.0,4.87,3035,94.99,500 мл,500.0,0.0,0.0,11.0,45.0,2,6.0
Багет чесночный 158г,78030124,шт,1.0,4.93,29344,69.99,158 г,158.0,6.7,11.0,45.0,305.8,4,8.0
Батон Коломенское Нарезной нарезка 400г,2065120,шт,1.0,4.94,55887,72.99,400 г,400.0,7.5,2.9,51.4,265.0,3,7.67
Хлеб Коломенское Дарницкий формовой нарезка 350г,3953836,шт,1.0,4.91,12899,52.99,350 г,350.0,6.6,1.1,41.0,200.0,5,8.0
Груши Конференция,50911,кг,0.5,4.9,42257,299.99,Цена за 1 кг,500.0,0.4,0.3,10.3,47.0,8,8.33
Ролл Симфония с курицей и соусом цезарь Пятерочка Кафе 180г,4371000,шт,1.0,4.78,681,199.99,180 г,180.0,6.8,5.8,30.1,199.8,3,6.67
Картофель,3953590,кг,1.0,4.85,261156,65.99,Цена за 1 кг,1000.0,2.0,1.0,17.0,77.0,9,8.67
Булочка Bagerstat для хот-дога 4х60г,4256836,шт,1.0,4.9,8864,169.99,241 г,241.0,7.0,3.0,50.0,260.0,3,5.33
Тараллини Trattoria Turatti классические 180г,4208806,шт,1.0,4.94,10200,54.99,180 г,180.0,9.5,20.0,64.0,470.0,3,6.67
Борщ украинский с курицей Пятерочка Кафе 250г,4292797,шт,1.0,4.88,9631,119.99,250 г,250.0,2.5,2.0,4.8,50.0,3,7.0
Кофе Флэт Уайт 200мл,78034280,шт,1.0,4.56,369,99.99,200 мл,200.0,4.81,4.83,6.49,88.67,1,6.67
Лазанья Болоньезе с сыром в соусе Бешамель Мираторг 350г,4261976,шт,1.0,4.74,5003,199.99,350 г,350.0,7.5,6.4,17.1,156.5,3,8.0
"Зелень Global Village Ассорти лук, укроп и петрушка 70г",3043871,шт,1.0,4.88,31248,114.99,70 г,70.0,2.5,0.3,5.3,34.0,7,8.33
Пиццетта с салями 85г,78033550,шт,1.0,4.75,5591,49.99,85 г,85.0,8.5,9.5,25.0,220.0,2,7.33
Конфеты Raffaello с цельным миндалем в кокосовой обсыпке 70г,3912029,шт,1.0,4.94,7495,,70 г,70.0,7.2,48.6,38.3,628.0,2,5.33
Томаты,202,кг,0.5,4.89,247528,219.99,Цена за 1 кг,500.0,0.9,0.2,3.9,24.0,8,8.0
Голубика 125г,54727,шт,1.0,4.85,6396,,125 г,125.0,1.0,0.0,8.2,35.0,6,8.33
Мандарины,47642,кг,0.5,4.86,198216,199.99,Цена за 1 кг,500.0,0.8,0.2,7.5,33.0,8,8.67
Бананы Красная Цена фасованные,3021692,кг,1.2,4.91,124833,159.99,Цена за 1 кг,1200.0,1.1,0.3,23.0,89.0,8,8.0
Семечки подсолнуха От Мартина полосатые с солью 150г,3661124,шт,1.0,4.93,20190,129.99,150 г,150.0,17.1,34.5,5.4,386.0,2,8.33
Капуста Global Village квашеная с морковью и клюквой 500г,4346969,шт,1.0,4.82,5831,119.99,500 г,500.0,1.5,0.1,5.0,30.0,5,8.0
Авокадо Global Village Хасс 2шт.,3148279,шт,1.0,4.64,10148,,2 шт,-1.0,2.0,15.0,9.0,160.0,5,8.0
Капуста белокочанная,198,кг,2.1,4.92,148644,42.99,Цена за 1 кг,2100.0,1.8,0.2,4.7,28.0,8,9.0
Тесто для пельменей охлажденное Тестов 360г,3443131,шт,1.0,4.91,3951,89.99,360 г,360.0,9.0,1.0,52.0,250.0,4,8.0
Свекла,88570,кг,0.5,4.91,92686,27.99,Цена за 1 кг,500.0,1.6,0.2,9.6,43.0,8,7.67
Яблоки Голден,48188,кг,0.5,4.92,54570,149.99,Цена за 1 кг,500.0,0.4,0.4,9.8,47.0,7,9.0
Киви,78647,кг,0.3,4.83,39028,289.99,Цена за 1 кг,300.0,1.0,0.6,10.3,48.0,5,8.0
Паста Nutella с добавлением какао ореховая 350г,2157514,шт,1.0,4.94,4309,543.99,350 г,350.0,6.3,30.9,57.5,539.0,2,6.33
Перец красный сладкий,43347,кг,0.4,4.91,62698,469.99,Цена за 1 кг,400.0,1.3,0.1,5.3,27.0,5,9.0
Багет Фитнес 200г,78004824,шт,1.0,4.91,19149,49.99,200 г,200.0,10.2,2.9,56.2,292.0,4,8.0
Конфеты Рот Фронт батончики,3036204,кг,0.2,4.93,22925,42.49,Цена за 100 г,200.0,10.7,29.5,53.2,514.0,2,6.0
Лепешка томаты с базиликом 165г,62766,шт,1.0,4.88,50014,79.99,165 г,165.0,5.0,1.4,19.0,115.0,2,7.67
Кабачки,3965,кг,0.5,4.9,23049,289.99,Цена за 1 кг,500.0,0.6,0.3,4.6,24.0,8,8.33
Укроп Global Village 30г,48683,шт,1.0,4.91,30084,71.49,30 г,30.0,3.5,1.1,4.9,43.0,7,9.0
Хлебцы Хлебцы Молодцы Фитнес линия цельнозерновые витамин плюс хрустящие 100г,2059458,шт,1.0,4.93,7381,57.99,100 г,100.0,10.1,2.3,57.1,290.0,5,7.33
Багет Ржаной чесночный замороженный п/ф 200г,4117904,шт,1.0,4.68,140,64.99,200 г,200.0,6.5,14.0,45.1,332.0,2,8.0
Палочки сдобные Шарлиз Снежка с малиновым джемом 370г,3964790,шт,1.0,4.94,26512,154.99,370 г,370.0,6.5,13.0,63.0,400.0,1,6.33
Хотстеры Горячая Штучка 250г,3435321,шт,1.0,4.92,14632,233.99,250 г,250.0,8.0,12.0,17.0,210.0,3,5.0
Сэндвич-ролл с курицей том ям Пятерочка Кафе 195г,4376856,шт,1.0,4.75,479,169.99,195 г,195.0,9.3,14.8,25.8,273.6,3,5.0
Салат морская капуста с крабовым мясом Fish House 400г,3950270,шт,1.0,4.9,9355,119.99,400 г,400.0,2.0,26.0,3.0,254.0,3,6.67
Свекла варёная целая очищенная 500г,49505,шт,1.0,4.91,13429,131.99,500 мл,500.0,1.7,0.2,8.0,44.0,4,7.33
Яблоко сезонное,807,кг,0.5,4.91,181068,137.99,Цена за 1 кг,500.0,0.4,0.4,9.8,47.0,8,10.0
Сухари Красная цена Ванильные 350г,3660729,шт,1.0,4.91,10870,49.99,350 г,350.0,9.0,9.4,74.2,418.0,2,6.0
Булочка Bagerstat для бургера с кунжутом 3х56г,4256835,шт,1.0,4.92,8830,129.99,168 г,168.0,7.0,3.5,50.0,260.0,3,4.67
Батон Хлебный Дом Звездный нарезка 350г,3985404,шт,1.0,4.93,31628,59.99,350 г,350.0,7.8,2.7,52.9,271.0,3,4.0
Хлеб Рижский хлеб Крестьянский со злаками 300г,4137632,шт,1.0,4.87,1443,84.99,300 г,300.0,7.3,1.8,61.5,290.0,5,8.0
Круассан 7 Days с кремом Какао 4х65г,3441724,шт,1.0,4.93,5459,195.99,4 шт,-1.0,7.0,28.0,42.0,452.0,2,4.0
Груши Китайские,57165,кг,0.5,4.85,21861,,Цена за 1 кг,500.0,0.0,0.0,11.5,41.5,8,8.0
